target,feature_set,model,n_test_sum,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
NH3_3class,Context only,CatBoost,114,0.43859649122807015,0.0924180153759012,0.3944274679568797,0.02119531001860719,0.30480803056894445,0.040759379308813765
NH3_3class,Context only,DummyMostFrequent,114,0.35964912280701755,0.08039606482378667,0.3333333333333333,0.0,0.17521837017635333,0.028569201547641226
NH3_3class,Context only,ExtraTrees,114,0.456140350877193,0.11866446717954986,0.4271386293445117,0.06175397080887262,0.360025137944183,0.1249092326172468
NH3_3class,Context only,Logistic,114,0.3859649122807017,0.07596714068284548,0.3795710008945303,0.09215641426209513,0.34379169363138473,0.08832414005750039
NH3_3class,Context only,RandomForest,114,0.4122807017543859,0.09962997097895214,0.3741876768837553,0.03820937722044546,0.31195148766577335,0.02462916765792635
NH3_3class,Context only,Stacking_LogisticMeta,114,0.3947368421052631,0.10526315789473686,0.4314627366097954,0.17188194831837314,0.354835953520164,0.12179470113809517
NH3_3class,Context only,XGBoost,114,0.4298245614035088,0.11866446717954991,0.42479905715199834,0.10182125627526291,0.3559844517629241,0.14809500341397788
NH3_3class,S2 + Context,CatBoost,114,0.43859649122807015,0.10635399695598373,0.3961834733893557,0.015409146324234468,0.29548670857009957,0.0624278355513036
NH3_3class,S2 + Context,DummyMostFrequent,114,0.35964912280701755,0.08039606482378667,0.3333333333333333,0.0,0.17521837017635333,0.028569201547641226
NH3_3class,S2 + Context,ExtraTrees,114,0.49122807017543857,0.09241801537590127,0.43782320620555915,0.013670640562917771,0.35226705037691713,0.0457268893278583
NH3_3class,S2 + Context,Logistic,114,0.3421052631578947,0.0526315789473684,0.32175603989329477,0.03353855807073337,0.3119195069865568,0.03330850837758572
NH3_3class,S2 + Context,RandomForest,114,0.4473684210526316,0.06962503450169977,0.40170491273432446,0.046640850046513346,0.32718751638896826,0.03283431924148901
NH3_3class,S2 + Context,Stacking_LogisticMeta,114,0.4473684210526316,0.09488292830168397,0.41544194730469236,0.05529195179677852,0.41193980686881293,0.04908807148421465
NH3_3class,S2 + Context,XGBoost,114,0.456140350877193,0.11866446717954986,0.45701842638117146,0.0960659691517652,0.40379818916404275,0.14080450938624733
