split,fold,task,target,feature_set,model,transform,n_features,n_train,n_test,original_n,original_mae,original_rmse,original_r2,original_pearson_r,original_spearman_r,original_bias,modelscale_mae,modelscale_rmse,modelscale_r2,modelscale_pearson_r,modelscale_spearman_r,modelscale_bias,accuracy,balanced_accuracy,macro_f1,experiment_group,experiment_family,validation_design,preset_or_model_config,station_temporal_available
temporal,,regression,BOD,S2 only,RandomForest,raw,32,276,114,114.0,0.5664194088284312,0.8078130094254274,0.1194195799800884,0.4170735355421375,0.4648003081864178,0.0191919401956995,0.5664194088284312,0.8078130094254274,0.1194195799800884,0.4170735355421375,0.4648003081864178,0.0191919401956995,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,BOD,S2 only,ExtraTrees,raw,32,276,114,114.0,0.6142589807852965,0.8567266739779956,0.0095514600661876,0.3606415981965614,0.4279669690513671,0.0192355889724312,0.6142589807852965,0.8567266739779956,0.0095514600661876,0.3606415981965614,0.4279669690513671,0.0192355889724312,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,BOD,S2 only,XGBoost,raw,32,276,114,114.0,0.5757105560679185,0.7961123388962527,0.1447441593187867,0.4486359807447771,0.4657374710171477,0.0419107080551615,0.5757105560679185,0.7961123388962527,0.1447441593187867,0.4486359807447771,0.4657374710171477,0.0419107080551615,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,BOD,S2 only,CatBoost,raw,32,276,114,114.0,0.5365087464664199,0.7762569692835694,0.1868730353482977,0.4708752598917196,0.5296024808931218,0.0282328416069145,0.5365087464664199,0.7762569692835694,0.1868730353482977,0.4708752598917196,0.5296024808931218,0.0282328416069145,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,BOD,S2 only,Stacking_RidgeMeta,raw,32,276,114,114.0,0.5487795241955471,0.7754620256435456,0.1885375849997279,0.4370960205636388,0.4489172238474241,-0.0429947717943323,0.5487795241955471,0.7754620256435456,0.1885375849997279,0.4370960205636388,0.4489172238474241,-0.0429947717943323,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,Turbidity,S2 only,DummyMedian,log1p,32,276,114,114.0,28.893421052631577,66.88675070726218,-0.1302795308919901,,,-22.70833333333333,0.8385060638630178,1.0900929515002085,-0.0442189702315256,,,-0.2243220961017247,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,Turbidity,S2 only,Ridge,log1p,32,276,114,114.0,23.218156696337697,57.85586749992397,0.1543308561468463,0.5379946430272037,0.663654663292184,-17.326385713491664,0.6116266409090043,0.8245304143514712,0.4025825885258836,0.6557127688932005,0.663654663292184,-0.1673286133627178,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,Turbidity,S2 only,ElasticNet,log1p,32,276,114,114.0,22.49243495973496,56.89314384317429,0.1822406263772416,0.5175973040316799,0.6738368820775673,-15.90261719675483,0.6076569134914154,0.8104615626649309,0.4227959616546982,0.66838627238145,0.6738368820775673,-0.1650666181268098,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,Turbidity,S2 only,RandomForest,log1p,32,276,114,114.0,23.838098212964923,57.30028431751959,0.1704945977705532,0.4865122733478174,0.6748210822226938,-13.892259493135883,0.6283122773657752,0.825483804889822,0.4012002225369245,0.6582553091793245,0.6748210822226938,-0.1396252607928261,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,Turbidity,S2 only,ExtraTrees,log1p,32,276,114,114.0,22.67644355980981,56.26156368852822,0.2002960119273993,0.4942364715226011,0.6703051021329156,-12.389149371042706,0.5990480905235536,0.8167860917449496,0.4137522571503957,0.6598316359751749,0.6703051021329156,-0.0895128532697828,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
