split,fold,task,target,feature_set,model,transform,n_features,n_train,n_test,original_n,original_mae,original_rmse,original_r2,original_pearson_r,original_spearman_r,original_bias,modelscale_mae,modelscale_rmse,modelscale_r2,modelscale_pearson_r,modelscale_spearman_r,modelscale_bias,accuracy,balanced_accuracy,macro_f1,experiment_group,experiment_family,validation_design,preset_or_model_config,station_temporal_available,rank_metric
temporal,,regression,BOD,Context only,Ridge,raw,106,276,114,114.0,0.5587598468561235,0.7956727507488236,0.1456883892107141,0.4501491824258638,0.4081352392862862,-0.1752441955973668,0.6125119873911988,0.9891969235356703,-0.3204223069430911,0.2953577802317168,0.4081120993821372,-0.2289963361324422,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7956727507488236
temporal,,regression,BOD,S2 only,XGBoost,raw,32,276,114,114.0,0.5757105560679185,0.7961123388962527,0.1447441593187867,0.4486359807447771,0.4657374710171477,0.0419107080551615,0.5757105560679185,0.7961123388962527,0.1447441593187867,0.4486359807447771,0.4657374710171477,0.0419107080551615,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7961123388962527
temporal,,regression,BOD,Context only,Stacking_RidgeMeta,raw,106,276,114,114.0,0.5621917771857505,0.8071976523412933,0.1207606453161673,0.3974158608892428,0.3550873452798008,-0.164776389442645,0.5621917771857505,0.8071976523412933,0.1207606453161673,0.3974158608892428,0.3550873452798008,-0.164776389442645,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.8071976523412933
temporal,,regression,BOD,S2 only,RandomForest,raw,32,276,114,114.0,0.5664194088284312,0.8078130094254274,0.1194195799800884,0.4170735355421375,0.4648003081864178,0.0191919401956995,0.5664194088284312,0.8078130094254274,0.1194195799800884,0.4170735355421375,0.4648003081864178,0.0191919401956995,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.8078130094254274
temporal,,regression,BOD,S2 + Context,XGBoost,raw,138,276,114,114.0,0.5671736062618724,0.8119173416485106,0.1104487512329283,0.4311684204770101,0.4060998363343363,-0.0810451501294186,0.5671736062618724,0.8119173416485106,0.1104487512329283,0.4311684204770101,0.4060998363343363,-0.0810451501294186,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.8119173416485106
temporal,,regression,BOD,Context only,CatBoost,raw,106,276,114,114.0,0.5649684005024639,0.817472869797611,0.0982336296522178,0.3793488135203947,0.3610429947841795,-0.1261680666937326,0.5649684005024639,0.817472869797611,0.0982336296522178,0.3793488135203947,0.3610429947841795,-0.1261680666937326,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.817472869797611
temporal,,regression,BOD,Context only,RandomForest,raw,106,276,114,114.0,0.553351506982992,0.818498212310388,0.0959700700954553,0.3725839969620234,0.3446893005388453,-0.1033781609889693,0.553351506982992,0.818498212310388,0.0959700700954553,0.3725839969620234,0.3446893005388453,-0.1033781609889693,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.818498212310388
temporal,,regression,BOD,Context only,ExtraTrees,raw,106,276,114,114.0,0.5579465329991645,0.8289402188951679,0.0727565771296688,0.3618710994619051,0.3863504481958378,-0.1727585630743523,0.5579465329991645,0.8289402188951679,0.0727565771296688,0.3618710994619051,0.3863504481958378,-0.1727585630743523,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.8289402188951679
temporal,,regression,BOD,Context only,XGBoost,raw,106,276,114,114.0,0.5793687338368936,0.8358314692091302,0.0572755402475257,0.3616453064466077,0.3263436281554662,-0.1207765820779298,0.5793687338368936,0.8358314692091302,0.0572755402475257,0.3616453064466077,0.3263436281554662,-0.1207765820779298,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.8358314692091302
temporal,,regression,BOD,S2 only,ExtraTrees,raw,32,276,114,114.0,0.6142589807852965,0.8567266739779956,0.0095514600661876,0.3606415981965614,0.4279669690513671,0.0192355889724312,0.6142589807852965,0.8567266739779956,0.0095514600661876,0.3606415981965614,0.4279669690513671,0.0192355889724312,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.8567266739779956
