target,feature_set,model,transform,is_dummy,n_test_sum,selection_metric_name,selection_rmse_mean,rank_selection_rmse,selection_r2_mean,rank_selection_r2,selection_spearman_r_mean,rank_selection_spearman,original_rmse_mean,original_rmse_std,original_mae_mean,original_r2_mean,original_pearson_r_mean,original_spearman_r_mean,original_bias_mean,modelscale_rmse_mean,modelscale_rmse_std,modelscale_r2_mean,modelscale_spearman_r_mean,rank_original_rmse,rank_modelscale_rmse
DO,S2 only,XGBoost,raw,False,114,original_rmse_mean,1.4293174842244074,8.0,-0.8869321327372433,8.0,0.2198946517529498,5.0,1.4293174842244074,0.1326220858440605,1.1455666833174858,-0.8869321327372433,0.1924317183438434,0.2198946517529498,-0.4936445353323953,1.4293174842244074,0.1326220858440605,-0.8869321327372433,0.2198946517529498,8.0,8.0
DO,Context only,DummyMedian,raw,True,114,original_rmse_mean,1.218158102094031,1.0,-0.1980202604255476,1.0,,,1.218158102094031,0.1904826130518338,0.9777192982456144,-0.1980202604255476,1.0719873506828735e-16,,-0.1885964912280701,1.218158102094031,0.1904826130518338,-0.1980202604255476,,1.0,1.0
DO,Context only,ExtraTrees,raw,False,114,original_rmse_mean,1.2910897351217054,2.0,-0.4587193608919079,2.0,0.0984879203005794,5.0,1.2910897351217054,0.1284551501573298,1.042930158730158,-0.4587193608919079,0.1445692988955479,0.0984879203005794,-0.2627540517961563,1.2910897351217054,0.1284551501573298,-0.4587193608919079,0.0984879203005794,2.0,2.0
DO,Context only,RandomForest,raw,False,114,original_rmse_mean,1.3546515627746043,3.0,-0.6336241402910502,3.0,0.0957186294518891,6.0,1.3546515627746043,0.1512593012327867,1.1252153169940535,-0.6336241402910502,0.1550612556476037,0.0957186294518891,-0.3642288143971859,1.3546515627746043,0.1512593012327867,-0.6336241402910502,0.0957186294518891,3.0,3.0
DO,Context only,Stacking_RidgeMeta,raw,False,114,original_rmse_mean,1.3658972422751017,4.0,-0.6367591907154012,4.0,0.1393663474539758,3.0,1.3658972422751017,0.2351925661754578,1.0711224556599694,-0.6367591907154012,0.084008814011991,0.1393663474539758,-0.2790383582481529,1.3658972422751017,0.2351925661754578,-0.6367591907154012,0.1393663474539758,4.0,4.0
DO,Context only,XGBoost,raw,False,114,original_rmse_mean,1.3770142707008948,5.0,-0.7356677573154454,5.0,0.1277475277565435,4.0,1.3770142707008948,0.2055084719884812,1.1138653323524874,-0.7356677573154454,0.1602644421106943,0.1277475277565435,-0.2862560757419519,1.3770142707008948,0.2055084719884812,-0.7356677573154454,0.1277475277565435,5.0,5.0
DO,Context only,CatBoost,raw,False,114,original_rmse_mean,1.3882732595286509,6.0,-0.7542260288355123,6.0,0.156170044246585,2.0,1.3882732595286509,0.1330512443578932,1.1344300865660175,-0.7542260288355123,0.1512940317098538,0.156170044246585,-0.3820324807279168,1.3882732595286509,0.1330512443578932,-0.7542260288355123,0.156170044246585,6.0,6.0
DO,Context only,Ridge,raw,False,114,original_rmse_mean,2.9287576014015837,7.0,-6.030366401635921,7.0,0.2729959826317611,1.0,2.9287576014015837,2.106157651546324,1.4891838789897154,-6.030366401635921,0.1839157609481695,0.2729959826317611,-0.1109078981345364,3.69976923366096,2.1827331737492206,-9.583646041874395,0.2729959826317611,7.0,7.0
DO,Context only,ElasticNet,raw,False,114,original_rmse_mean,3.689723739727039,8.0,-10.201405895879994,8.0,0.0676004993193954,7.0,3.689723739727039,2.8647129747129028,2.276114441914457,-10.201405895879994,0.0184629450532176,0.0676004993193954,0.6750748531435861,4.4009825514627785,3.361155739289052,-14.820703033399116,0.0676004993193954,8.0,8.0
DO,S2 + Context,DummyMedian,raw,True,114,original_rmse_mean,1.218158102094031,1.0,-0.1980202604255476,1.0,,,1.218158102094031,0.1904826130518338,0.9777192982456144,-0.1980202604255476,1.0719873506828735e-16,,-0.1885964912280701,1.218158102094031,0.1904826130518338,-0.1980202604255476,,1.0,1.0
