target,feature_set,model,transform,n_test_sum,original_rmse_mean,original_rmse_std,original_mae_mean,original_r2_mean,original_pearson_r_mean,original_spearman_r_mean,original_bias_mean,modelscale_rmse_mean,modelscale_rmse_std,modelscale_r2_mean,modelscale_spearman_r_mean
BOD,Context only,CatBoost,raw,114,0.8553365886225556,0.18040531169726573,0.6228732832613878,-0.13800883247828846,0.18552222811615093,0.19793839458200654,-0.1489070583024088,0.8553365886225556,0.18040531169726573,-0.13800883247828846,0.19793839458200654
BOD,Context only,DummyMedian,raw,114,0.8924747991525072,0.2713929843384259,0.6298245614035087,-0.1486617959040092,-2.6202673069309224e-16,,-0.3228070175438596,0.8924747991525072,0.2713929843384259,-0.1486617959040092,
BOD,Context only,ElasticNet,raw,114,1.2082377315643396,0.5004730245281378,0.8943216652466887,-2.858889231826995,0.28616518818698183,0.22763502852146666,0.26667828705258495,1.359784788120087,0.4176185152990676,-3.2744440729569924,0.22763502852146666
BOD,Context only,ExtraTrees,raw,114,0.8766948261083334,0.1586638404713353,0.6260100250626567,-0.21424855948274768,0.16502746614864422,0.18432488031097663,-0.2072648287385128,0.8766948261083334,0.1586638404713353,-0.21424855948274768,0.18432488031097663
BOD,Context only,RandomForest,raw,114,0.8795878995557942,0.11995867807264449,0.6372020421299833,-0.26298411185566073,0.21338280688800773,0.23837090058790936,-0.10556323682214867,0.8795878995557942,0.11995867807264449,-0.26298411185566073,0.23837090058790936
BOD,Context only,Ridge,raw,114,0.7625096046668854,0.11485451096427012,0.5837125447781798,0.07486362756644423,0.3510805773000834,0.3455598569808997,-0.13904306038012904,1.0101165663684237,0.3611817374711123,-0.5225341960373922,0.3455598569808997
BOD,Context only,Stacking_RidgeMeta,raw,114,0.8734099546244991,0.13531034672504239,0.6300581168455214,-0.2193958959411422,0.17572604594699506,0.2206899185428628,-0.18942613107989495,0.8740183021686653,0.13502514535437712,-0.2206379574956356,0.2206899185428628
BOD,Context only,XGBoost,raw,114,0.8798674531684488,0.1309302076679335,0.6325413506282003,-0.2635767594327432,0.16120725653628631,0.1788320326455074,-0.1356489845535211,0.8798674531684488,0.1309302076679335,-0.2635767594327432,0.1788320326455074
BOD,S2 + Context,CatBoost,raw,114,0.824102803262801,0.14844650249201374,0.5791739311929168,-0.09709621638738763,0.30336342054424975,0.34435084432951957,-0.0521730253340753,0.824102803262801,0.14844650249201374,-0.09709621638738763,0.34435084432951957
BOD,S2 + Context,DummyMedian,raw,114,0.8924747991525072,0.2713929843384259,0.6298245614035087,-0.1486617959040092,-2.6202673069309224e-16,,-0.3228070175438596,0.8924747991525072,0.2713929843384259,-0.1486617959040092,
BOD,S2 + Context,ElasticNet,raw,114,1.1142125968941847,0.37687283685607803,0.8719724480188663,-2.009236480038839,0.39103592680528926,0.3363988615208553,0.20495093355409466,1.3712762020632645,0.3518782490716932,-2.7924791221422223,0.3363988615208553
BOD,S2 + Context,ExtraTrees,raw,114,0.8836995536952227,0.12160129086989305,0.6071629072681705,-0.4009258766369303,0.27659186116448764,0.3432387409491302,-0.10609440267335017,0.8836995536952227,0.12160129086989305,-0.4009258766369303,0.3432387409491302
BOD,S2 + Context,RandomForest,raw,114,0.9052660677334569,0.1432114575996473,0.6355072875510568,-0.5601700433046127,0.29800135319503507,0.3356454623165528,-0.016199416168749425,0.9052660677334569,0.1432114575996473,-0.5601700433046127,0.3356454623165528
BOD,S2 + Context,Ridge,raw,114,0.7960583902894642,0.03329126990502851,0.5997081958342508,-0.15143781952392052,0.44043679908102235,0.43217176635715565,-0.05006757984280288,1.026827445081817,0.23589609051742683,-0.6852179521688334,0.43217176635715565
BOD,S2 + Context,Stacking_RidgeMeta,raw,114,0.8900986812402829,0.10358734859379357,0.6203325372592016,-0.40779104068850974,0.2849705290733817,0.3321465766574181,-0.09610764472753963,0.8980102301222482,0.0907450169951945,-0.42311714871147005,0.3321465766574181
