target,feature_set,model,transform,n_test_sum,selection_metric_name,selection_rmse_mean,selection_r2_mean,selection_spearman_r_mean,original_rmse_mean,original_mae_mean,original_r2_mean,original_pearson_r_mean,original_spearman_r_mean,original_bias_mean,modelscale_rmse_mean,modelscale_r2_mean,modelscale_spearman_r_mean,best_model_including_dummy,best_selection_rmse_including_dummy
BOD,S2 only,CatBoost,raw,114,original_rmse_mean,0.9108027227528996,-0.6221810306234911,0.4460571769721131,0.9108027227528996,0.645649289525732,-0.6221810306234911,0.3816511499887813,0.4460571769721131,0.0707819501624763,0.9108027227528996,-0.6221810306234911,0.4460571769721131,DummyMedian,0.8924747991525072
BOD,Context only,Ridge,raw,114,original_rmse_mean,0.7625096046668854,0.0748636275664442,0.3455598569808997,0.7625096046668854,0.5837125447781798,0.0748636275664442,0.3510805773000834,0.3455598569808997,-0.139043060380129,1.0101165663684235,-0.5225341960373922,0.3455598569808997,Ridge,0.7625096046668854
BOD,S2 + Context,Ridge,raw,114,original_rmse_mean,0.7960583902894642,-0.1514378195239205,0.4321717663571556,0.7960583902894642,0.5997081958342508,-0.1514378195239205,0.4404367990810223,0.4321717663571556,-0.0500675798428028,1.026827445081817,-0.6852179521688334,0.4321717663571556,Ridge,0.7960583902894642
DO,S2 only,Ridge,raw,114,original_rmse_mean,1.2350618162337266,-0.3115114582907,0.2351171582732714,1.2350618162337266,0.9766023308323916,-0.3115114582907,0.24488866840425,0.2351171582732714,-0.2952529624383034,1.2350618162337266,-0.3115114582907,0.2351171582732714,DummyMedian,1.218158102094031
DO,Context only,ExtraTrees,raw,114,original_rmse_mean,1.2910897351217054,-0.4587193608919079,0.0984879203005794,1.2910897351217054,1.042930158730158,-0.4587193608919079,0.1445692988955479,0.0984879203005794,-0.2627540517961563,1.2910897351217054,-0.4587193608919079,0.0984879203005794,DummyMedian,1.218158102094031
DO,S2 + Context,ExtraTrees,raw,114,original_rmse_mean,1.254960676694033,-0.4115405148156205,0.1788572126574251,1.254960676694033,1.0123345446950711,-0.4115405148156205,0.2254695319768661,0.1788572126574251,-0.2606565162907262,1.254960676694033,-0.4115405148156205,0.1788572126574251,DummyMedian,1.218158102094031
Turbidity,S2 only,ElasticNet,log1p,114,modelscale_rmse_mean,0.8116207366557044,0.3697414850891576,0.629940032020028,52.11199024620535,22.803824921944766,0.2092507953143982,0.5504262044383549,0.629940032020028,-16.607444547197876,0.8116207366557044,0.3697414850891576,0.629940032020028,ElasticNet,0.8116207366557044
Turbidity,Context only,Stacking_RidgeMeta,log1p,114,modelscale_rmse_mean,1.027088467010808,0.0187229849866307,0.3708497369955074,57.89357233600231,28.097091811583173,0.0579221387104652,0.4660743173744441,0.3708497369955074,-21.094831814582697,1.027088467010808,0.0187229849866307,0.3708497369955074,Stacking_RidgeMeta,1.027088467010808
Turbidity,S2 + Context,RandomForest,log1p,114,modelscale_rmse_mean,0.8629306985042625,0.2976872586353949,0.57832501108682,53.05086169959839,25.1903643115067,0.1782450631833765,0.5611619509439619,0.57832501108682,-15.77130573492554,0.8629306985042625,0.2976872586353949,0.57832501108682,RandomForest,0.8629306985042625
SS,S2 only,Ridge,log1p,114,modelscale_rmse_mean,0.7062139360522002,0.2780118085215824,0.6449140829030501,47.30133031538632,19.35913244752104,0.195596126216739,0.4964133972949527,0.6449140829030501,-11.484308177366437,0.7062139360522002,0.2780118085215824,0.6449140829030501,Ridge,0.7062139360522002
